full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,saves_total_overall,PSxG,PSxG/SoT,xSaves_total_overall,SoTA
Alex Hennessy,18,2021/2022,Forward,Arsenal Women,12,0,12,England,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alexandra Elena MacIver,25,2021/2022,Goalkeeper,Everton Women,1620,810,810,England,18,9,9,0,0,0,0,0,0,0,0,4,0,4,34,17,17,0,0,0,0,52,22.36,0.26,0.74,86
Alisha Lehmann,24,2021/2022,Forward,Aston Villa Ladies,1714,958,756,Switzerland,21,11,10,2,1,1,2,1,1,1,0,4,1,3,30,15,15,1,0,0,0,0,0,0,0,0
Alsu Abdullina,22,2021/2022,Midfielder,Chelsea Women,42,13,29,Russia,5,3,2,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Amalie Vevle Eikeland,28,2021/2022,Forward,Reading Women,1727,892,835,Norway,20,10,10,2,1,1,2,1,1,0,0,7,5,2,32,13,19,1,0,0,0,0,0,0,0,0
Angela Addison,23,2021/2022,Midfielder,Tottenham Hotspur Women,330,160,170,England,19,10,9,1,0,1,0,0,0,0,1,6,4,2,4,1,3,0,0,0,0,0,0,0,0,0
Aniek Nouwen,24,2021/2022,Defender,Chelsea Women,979,563,416,Netherlands,14,8,6,1,0,1,0,0,0,0,0,11,7,4,2,0,2,0,0,0,0,0,0,0,0,0
Anita Amma Ankyewah Asante,38,2021/2022,Midfielder,Aston Villa Ladies,1890,990,900,England,21,11,10,1,0,1,0,0,0,0,0,5,1,4,32,16,16,2,0,0,0,0,0,0,0,0
Ann-Katrin Berger,33,2021/2022,Goalkeeper,Chelsea Women,1190,630,560,Germany,14,7,7,0,0,0,0,0,0,0,0,9,5,4,8,3,5,2,1,0,0,24,8.37,0.27,0.73,31
Anna Anvegård,26,2021/2022,Midfielder,Everton Women,944,505,439,Sweden,14,7,7,4,3,1,1,1,0,0,0,2,0,2,21,11,10,0,0,0,1,0,0,0,0,0
Anna Jessica Leat,22,2021/2022,Goalkeeper,West Ham United Women,360,90,270,New Zealand,4,1,3,0,0,0,0,0,0,0,0,2,1,1,3,0,3,0,0,0,0,19,3.3,0.15,0.85,22
Anna Patten,24,2021/2022,Defender,Aston Villa Ladies,756,457,299,England,11,6,5,0,0,0,0,0,0,0,0,4,1,3,8,7,1,0,0,0,0,0,0,0,0,0
